"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"518","Barclay Goodrow","S.J","C","60","552.15","4","4","2","2","8","66.67","41","9.76","6.33","83","62","49","31","4","10","41","11","8","1","2","7","26","5","91","42","37","11","16","40.74"
"519","Trevor van Riemsdyk","WSH","D","50","674.8666666666667","2","6","1","5","8","33.33","25","8.00","2.24","75","45","27","9","1","9","14","7","7","0","0","5","34","9","7","48","59","0","0","-"
"520","Sonny Milano","WSH","L","31","241.66666666666666","4","4","4","0","8","66.67","28","14.29","3.5","51","42","35","15","0","2","4","2","2","0","0","3","15","4","7","17","3","8","4","66.67"
"521","Warren Foegele","L.A","L","47","595.7166666666667","6","2","1","1","8","61.54","72","8.33","8.98","153","122","84","45","4","20","10","5","5","0","0","7","48","10","49","34","9","9","12","42.86"
"522","Sammy Blais","MTL, TOR","L","21","172.26666666666668","3","5","3","2","8","100.00","18","16.67","2.8","28","23","21","14","0","5","10","5","5","0","0","4","2","4","78","16","11","0","3","0.00"
"523","Noah Juulsen","PHI","D","44","541.35","1","7","2","5","8","34.78","19","5.26","0.81","68","36","21","2","1","9","15","6","5","1","0","4","39","9","86","94","33","0","0","-"
"524","Jeremy Lauzon","VGK","D","49","768.05","0","8","2","6","8","25.00","47","0.00","2.72","127","83","26","7","0","10","64","23","17","6","0","19","32","6","180","83","63","0","0","-"
"525","Rodrigo Abols","PHI","C","42","407.56666666666666","2","6","3","3","8","72.73","40","5.00","5.35","85","63","50","25","2","8","22","8","6","2","0","6","14","10","49","39","20","153","140","52.22"
"526","Tyson Jost","NSH","C","49","504.9","3","5","1","4","8","61.54","53","5.66","5.27","105","77","47","20","3","15","16","8","8","0","0","11","19","15","51","71","15","31","50","38.27"
"527","Nils Lundkvist","DAL","D","35","557.7666666666667","3","5","3","2","8","27.59","33","9.09","1.61","85","53","15","1","3","9","12","6","6","0","0","2","37","5","22","74","34","0","0","-"
"528","Ilya Lyubushkin","DAL","D","44","626.6166666666667","1","7","4","3","8","42.11","28","3.57","1.41","59","39","9","3","0","6","32","12","10","2","0","5","37","7","53","94","62","0","0","-"
"529","Jayden Struble","MTL","D","41","548.3666666666667","0","8","4","4","8","40.00","10","0.00","0.7","60","28","18","2","1","6","38","12","9","2","1","5","36","7","75","39","17","0","0","-"
"530","Nikita Nesterenko","ANA","C","29","321.46666666666664","1","7","5","2","8","80.00","27","3.70","3.31","64","42","34","15","2","5","8","3","3","0","0","3","13","1","53","12","7","9","10","47.37"
"531","Tye Kartye","NYR, SEA","L","44","430.2","2","6","3","3","8","66.67","29","6.90","3.37","82","54","36","16","0","9","21","5","3","1","1","8","19","11","112","45","19","3","6","33.33"
"532","Shakir Mukhamadullin","S.J","D","30","445.1166666666667","4","4","1","3","8","40.00","27","14.81","1.03","63","39","15","3","0","4","14","7","7","0","0","1","32","3","16","49","35","0","0","-"
"533","Stephen Halliday","OTT","C","28","171.86666666666667","4","4","2","2","8","88.89","25","16.00","2.21","41","32","28","16","0","5","2","1","1","0","0","2","10","2","28","24","8","22","35","38.60"
"534","Elias Pettersson","VAN","D","52","701.1166666666667","2","6","1","5","8","32.00","32","6.25","1.18","105","61","27","4","1","6","16","8","8","0","0","10","50","9","91","65","61","0","0","-"
"535","Dalibor Dvorsky","STL","R","52","626.7666666666667","4","4","1","3","8","40.00","46","8.70","4.74","88","71","44","20","1","8","12","6","6","0","0","4","33","5","67","24","17","216","242","47.16"
"536","Gabe Perreault","NYR","R","29","404.96666666666664","4","4","2","2","8","50.00","34","11.76","6.04","71","51","56","32","0","11","4","2","2","0","0","2","21","5","18","20","15","3","2","60.00"
"537","Igor Chernyshov","S.J","L","15","210.61666666666667","2","6","5","1","8","53.33","24","8.33","3.19","43","36","32","17","1","7","2","1","1","0","0","2","15","0","9","11","5","0","0","-"
"538","Luke Schenn","WPG","D","46","551.95","1","6","3","3","7","43.75","29","3.45","0.84","84","47","15","1","2","5","28","8","4","4","0","4","39","4","134","58","40","0","0","-"
"539","Tyler Myers","VAN","D","57","951.6666666666666","1","6","3","3","7","28.00","67","1.49","3","156","105","39","5","3","16","38","19","19","0","0","9","58","18","47","51","69","0","0","-"
"540","Sam Carrick","NYR","C","60","559.2666666666667","3","4","3","1","7","46.67","50","6.00","6.65","105","84","55","35","4","14","53","16","9","7","0","16","22","7","86","52","28","197","166","54.27"
"541","Cody Ceci","L.A","D","61","933.55","1","6","1","5","7","28.00","44","2.27","1.99","138","73","39","4","1","13","8","4","4","0","0","0","43","11","23","106","60","0","0","-"
"542","Matt Grzelcyk","CHI","D","62","938.8","0","7","6","1","7","15.91","54","0.00","1.36","128","95","14","0","0","5","28","9","8","0","1","4","37","17","24","73","47","0","0","-"
"543","Colton Sissons","VGK","C","47","478.06666666666666","4","3","2","1","7","70.00","48","8.33","6.09","90","76","52","29","3","10","15","6","5","1","0","6","23","8","71","36","26","210","163","56.30"
"544","Teddy Blueger","VAN","C","15","206.35","4","3","0","3","7","70.00","23","17.39","1.8","41","30","18","9","1","6","4","2","2","0","0","0","16","2","34","16","4","76","81","48.41"
"545","Vinnie Hinostroza","MIN","C","48","468.65","3","4","0","4","7","53.85","45","6.67","5.94","98","76","51","25","1","12","15","6","5","1","0","11","38","14","30","33","18","20","20","50.00"
