"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"126","Morgan Frost","CGY","C","61","166.3","3","7","4","3","10","58.82","22","13.64","4.45","40","33","28","19","0","6","8","4","4","0","0","0","4","1","0","0","0","75","44","63.03"
"127","Andrei Kuzmenko","L.A","L","52","143.06666666666666","7","3","0","3","10","71.43","22","31.82","3.23","33","30","24","12","0","3","2","1","1","0","0","1","9","1","0","5","0","0","0","-"
"128","Will Smith","S.J","C","47","156.86666666666667","6","4","1","3","10","66.67","37","16.22","5.54","63","49","40","12","1","5","6","3","3","0","0","0","4","0","0","5","1","0","4","0.00"
"129","Ben Kindel","PIT","C","58","107.76666666666667","4","6","5","1","10","58.82","20","20.00","3.71","36","29","28","11","0","3","0","0","0","0","0","1","6","0","0","4","0","15","10","60.00"
"130","Claude Giroux","OTT","R","61","132.35","1","8","5","3","9","60.00","16","6.25","1.99","33","25","14","6","0","3","0","0","0","0","0","0","8","0","0","4","0","51","28","64.56"
"131","James van Riemsdyk","DET","L","54","99.36666666666666","6","3","2","1","9","50.00","23","26.09","7.24","34","33","34","30","2","5","2","1","1","0","0","0","4","1","2","4","0","1","1","50.00"
"132","Patrick Kane","DET","R","48","145.01666666666668","0","9","4","5","9","52.94","26","0.00","4.12","51","39","31","8","1","4","2","1","1","0","0","0","5","0","0","2","0","2","2","50.00"
"133","John Tavares","TOR","C","63","162.2","5","4","3","1","9","60.00","34","14.71","7.58","66","51","56","30","0","9","2","1","1","0","0","0","6","3","4","2","0","99","67","59.64"
"134","Mats Zuccarello","MIN","R","43","151.3","0","9","3","6","9","47.37","24","0.00","3.47","50","39","27","9","0","4","0","0","0","0","0","1","8","2","0","2","1","2","2","50.00"
"135","Tyler Toffoli","S.J","C","60","181.71666666666667","4","5","2","3","9","42.86","50","8.00","8.41","84","67","61","39","0","12","4","2","2","0","0","1","6","3","2","3","0","0","0","-"
"136","Justin Faulk","STL","D","61","128.61666666666667","2","7","3","4","9","64.29","22","9.09","1.96","41","29","15","1","0","3","4","2","2","0","0","0","2","2","0","0","2","0","0","-"
"137","Vladimir Tarasenko","MIN","R","56","139.75","4","5","2","3","9","56.25","30","13.33","3.89","52","40","29","13","0","4","0","0","0","0","0","1","6","1","0","8","1","0","0","-"
"138","Vincent Trocheck","NYR","C","47","126.45","0","9","3","6","9","47.37","14","0.00","4.2","34","28","29","17","0","1","2","1","1","0","0","2","4","2","1","3","0","66","38","63.46"
"139","J.T. Miller","NYR","C","51","148.06666666666666","3","6","1","5","9","60.00","25","12.00","6.23","57","48","41","29","0","2","0","0","0","0","0","0","11","1","1","1","0","58","31","65.17"
