"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"684","Aatu Räty","VAN","C","5","53.96666666666667","0","0","0","0","0","0.00","4","0.00","0.57","7","7","4","2","0","1","4","2","2","0","0","1","3","0","14","4","1","26","17","60.47"
"685","Mackie Samoskevich","FLA","R","10","109.96666666666667","0","0","0","0","0","0.00","18","0.00","2.46","37","29","26","13","1","9","6","3","3","0","0","2","3","1","9","10","3","2","0","100.00"
"686","Ryan Ufko","NSH","D","2","23.05","0","0","0","0","0","0.00","0","-","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","-"
"687","Brennan Othmann","NYR","L","4","38.36666666666667","0","0","0","0","0","0.00","1","0.00","0.08","2","1","2","0","0","0","2","1","1","0","0","1","1","0","12","5","0","0","2","0.00"
"688","Ville Koivunen","PIT","R","2","21.516666666666666","0","0","0","0","0","0.00","0","-","0","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","-"
"689","Isak Rosen","BUF, WPG","R","4","28.866666666666667","0","0","0","0","0","-","2","0.00","0.17","4","3","3","1","0","0","0","0","0","0","0","0","1","0","2","2","1","0","0","-"
"690","Ethan Del Mastro","CHI","D","2","22.816666666666666","0","0","0","0","0","-","1","0.00","0.03","3","1","1","0","0","0","2","1","1","0","0","0","1","0","3","5","3","0","0","-"
"691","Vincent Iorio","NYR","D","5","65.81666666666666","0","0","0","0","0","0.00","5","0.00","0.17","7","5","2","1","0","0","0","0","0","0","0","1","8","3","3","8","7","0","0","-"
"692","Tyson Kozak","BUF","C","7","62.71666666666667","0","0","0","0","0","0.00","4","0.00","0.39","6","4","3","1","0","0","0","0","0","0","0","0","5","1","11","9","6","22","25","46.81"
"693","Emil Lilleberg","T.B","D","3","33.016666666666666","0","0","0","0","0","0.00","4","0.00","0.1","6","4","0","0","0","1","2","1","1","0","0","0","0","1","6","2","0","0","0","-"
"694","Zakhar Bardakov","COL","C","9","59.3","0","0","0","0","0","0.00","4","0.00","1.03","13","11","8","4","0","2","2","1","1","0","0","1","3","0","8","9","1","10","13","43.48"
"695","Taylor Makar","COL","L","3","17.166666666666668","0","0","0","0","0","-","0","-","0","3","0","0","0","0","0","2","1","1","0","0","0","1","0","3","4","0","0","1","0.00"
"696","Arber Xhekaj","MTL","D","7","66.81666666666666","0","0","0","0","0","0.00","1","0.00","0.04","5","2","1","0","0","1","4","2","2","0","0","1","4","0","19","18","0","0","0","-"
"697","Declan Carlile","T.B","D","5","67.83333333333333","0","0","0","0","0","0.00","2","0.00","0.11","11","5","4","0","0","1","2","1","1","0","0","1","3","0","8","12","3","0","0","-"
"698","David Jiricek","MIN","D","2","25.25","0","0","0","0","0","0.00","2","0.00","0.01","3","2","1","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","-"
"699","Joakim Kemell","NSH","R","2","20.25","0","0","0","0","0","-","1","0.00","0.1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","3","0","1","0","1","0.00"
"700","Kevin Korchinski","CHI","D","2","18.85","0","0","0","0","0","0.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","5","1","1","1","1","0","0","-"
"701","Brad Lambert","WPG","C","1","6.616666666666667","0","0","0","0","0","-","0","-","0.02","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"702","Simon Nemec","N.J","D","10","169.01666666666668","0","0","0","0","0","0.00","10","0.00","0.51","26","18","6","0","0","3","2","1","1","0","0","2","10","6","4","18","10","0","0","-"
"703","Reid Schaefer","NSH","L","3","23.516666666666666","0","0","0","0","0","0.00","3","0.00","0.24","4","3","3","2","0","0","0","0","0","0","0","0","0","1","9","4","0","0","0","-"
