game_id,date,season,name,team,opp,score,scored,pp1,ixg_l10,hdcf_l10,sog_l10,atoi_l10,ga_g
2008020106,20081025,2008,Daniel Alfredsson,OTT,TOR,9.214,0,True,0.391,0.5,3.5,22.0,2.86
2008020106,20081025,2008,Dany Heatley,OTT,TOR,10.81,0,True,0.619,0.57,3.0,21.6,2.86
2008020106,20081025,2008,Jason Spezza,OTT,TOR,6.896,0,False,0.297,0.29,2.71,21.2,2.86
2008020106,20081025,2008,Nik Antropov,TOR,OTT,9.796,0,True,0.491,0.57,3.0,17.4,3.14
2008020106,20081025,2008,Niklas Hagman,TOR,OTT,8.088,0,True,0.257,0.14,4.14,18.8,3.14
2008020107,20081025,2008,Sergei Kostitsyn,MTL,ANA,9.364,0,True,0.504,0.83,2.0,15.5,3.12
2008020107,20081025,2008,Robert Lang,MTL,ANA,7.339,0,False,0.317,0.5,2.83,17.3,3.12
2008020107,20081025,2008,Alex Kovalev,MTL,ANA,9.511,0,True,0.437,0.67,3.5,20.1,3.12
2008020107,20081025,2008,Saku Koivu,MTL,ANA,5.315,1,False,0.302,0.33,1.83,15.0,3.12
2008020107,20081025,2008,Alex Tanguay,MTL,ANA,6.637,1,True,0.366,0.33,1.5,16.7,3.12
2008020108,20081025,2008,Matt Cullen,CAR,NYI,7.555,0,True,0.353,0.67,1.83,17.3,3.5
2008020108,20081025,2008,Rod Brind'Amour,CAR,NYI,7.565,1,True,0.277,0.33,2.0,19.8,3.5
2008020108,20081025,2008,Eric Staal,CAR,NYI,9.779,1,True,0.42,0.33,4.17,22.4,3.5
2008020108,20081025,2008,Doug Weight,NYI,CAR,8.287,0,True,0.366,0.67,2.0,18.5,3.17
2008020108,20081025,2008,Mike Comrie,NYI,CAR,8.165,0,True,0.356,0.33,2.83,15.3,3.17
2008020108,20081025,2008,Trent Hunter,NYI,CAR,6.511,0,False,0.269,0.17,2.5,17.3,3.17
2008020108,20081025,2008,Bill Guerin,NYI,CAR,8.603,0,True,0.358,0.5,3.5,17.1,3.17
2008020109,20081025,2008,Scott Gomez,NYR,PIT,6.698,0,True,0.235,0.1,3.6,22.5,2.12
2008020109,20081025,2008,Brandon Dubinsky,NYR,PIT,6.175,0,True,0.298,0.3,3.0,16.0,2.12
2008020109,20081025,2008,Sidney Crosby,PIT,NYR,8.823,1,True,0.393,0.38,4.0,22.7,1.9
2008020109,20081025,2008,Evgeni Malkin,PIT,NYR,8.861,0,True,0.385,0.25,4.0,22.2,1.9
2008020110,20081025,2008,John Madden,NJD,PHI,5.725,0,False,0.206,0.14,2.57,18.4,4.43
2008020110,20081025,2008,Zach Parise,NJD,PHI,9.513,1,True,0.41,0.57,3.86,18.1,4.43
2008020110,20081025,2008,Patrik Elias,NJD,PHI,10.03,0,True,0.465,1.0,5.0,17.6,4.43
2008020110,20081025,2008,Simon Gagne,PHI,NJD,7.472,0,True,0.438,0.83,2.67,20.9,2.14
2008020110,20081025,2008,Mike Richards,PHI,NJD,6.108,0,True,0.321,0.14,2.0,23.0,2.14
2008020110,20081025,2008,Jeff Carter,PHI,NJD,6.193,1,False,0.268,0.0,3.86,21.3,2.14
2008020110,20081025,2008,Scott Hartnell,PHI,NJD,5.063,1,True,0.269,0.29,2.14,17.9,2.14
2008020111,20081025,2008,Joe Pavelski,SJS,TBL,5.605,0,False,0.284,0.38,2.88,18.4,2.33
2008020111,20081025,2008,Ryane Clowe,SJS,TBL,8.008,1,True,0.459,0.62,2.25,14.8,2.33
2008020111,20081025,2008,Devin Setoguchi,SJS,TBL,8.262,1,True,0.438,0.62,3.38,15.0,2.33
2008020111,20081025,2008,Patrick Marleau,SJS,TBL,9.553,0,True,0.454,0.75,4.0,22.6,2.33
2008020111,20081025,2008,Vinny Prospal,TBL,SJS,7.29,0,True,0.31,0.17,2.5,18.9,2.75
2008020111,20081025,2008,Vincent Lecavalier,TBL,SJS,9.209,0,True,0.402,0.33,4.67,20.0,2.75
2008020112,20081025,2008,Dustin Brown,LAK,NSH,9.454,1,True,0.474,0.33,3.83,21.3,3.86
2008020112,20081025,2008,Jarret Stoll,LAK,NSH,5.181,1,False,0.205,0.33,2.5,17.5,3.86
2008020112,20081025,2008,Patrick O'Sullivan,LAK,NSH,7.814,0,True,0.287,0.4,2.6,18.4,3.86
2008020112,20081025,2008,Alex Frolov,LAK,NSH,9.744,1,True,0.539,0.5,2.0,19.4,3.86
2008020112,20081025,2008,Martin Erat,NSH,LAK,5.053,1,True,0.206,0.29,2.14,18.5,2.33
2008020113,20081025,2008,Rick Nash,CBJ,MIN,8.317,0,True,0.37,0.29,4.57,22.5,2.2
2008020113,20081025,2008,Kristian Huselius,CBJ,MIN,6.189,0,True,0.231,0.14,2.0,20.1,2.2
2008020113,20081025,2008,Derick Brassard,CBJ,MIN,5.749,0,True,0.333,0.57,1.43,14.1,2.2
2008020113,20081025,2008,Eric Belanger,MIN,CBJ,5.48,0,False,0.209,0.0,2.2,18.6,3.71
2008020113,20081025,2008,Andrew Brunette,MIN,CBJ,6.993,0,True,0.357,0.6,1.2,18.1,3.71
