game_id,date,name,team,opp,score,cat,scored,ixg_l10,hdcf_l10,sog_l10,atoi_l10
2008020170,20081103,Patrick Kane,CHI,COL,8.63,JOUABLE,0,0.413,0.5,3.3,20.5
2008020170,20081103,Milan Hejduk,COL,CHI,8.63,JOUABLE,1,0.395,0.6,3.5,20.8
2008020171,20081104,Scott Gomez,NYR,NYI,9.11,JOUABLE,0,0.306,0.3,3.9,22.7
2008020172,20081104,Eric Staal,CAR,TOR,9.11,JOUABLE,0,0.508,0.7,4.7,22.8
2008020173,20081104,Antoine Vermette,OTT,WSH,8.37,JOUABLE,0,0.494,0.7,3.5,18.6
2008020173,20081104,Dany Heatley,OTT,WSH,9.94,SAFE,1,0.604,0.8,3.1,20.9
2008020173,20081104,Alex Ovechkin,WSH,OTT,8.37,JOUABLE,0,0.408,0.25,5.12,24.5
2008020174,20081104,Shane Doan,ARI,CGY,8.63,JOUABLE,1,0.517,0.78,3.11,20.5
2008020175,20081104,Daniel Sedin,VAN,NSH,7.56,JOUABLE,1,0.392,0.4,2.8,19.5
2008020176,20081104,Ryan Getzlaf,ANA,LAK,8.11,JOUABLE,0,0.5,0.5,3.7,18.4
2008020177,20081104,Patrick Marleau,SJS,MIN,8.63,JOUABLE,0,0.444,0.7,3.7,21.9
2008020178,20081105,Zach Parise,NJD,TBL,7.84,JOUABLE,0,0.415,0.5,3.9,19.6
2008020178,20081105,Vincent Lecavalier,TBL,NJD,7.84,JOUABLE,0,0.404,0.3,4.2,19.6
2008020179,20081105,Rick Nash,CBJ,EDM,7.56,JOUABLE,0,0.345,0.3,4.2,21.9
2008020179,20081105,Shawn Horcoff,EDM,CBJ,9.11,JOUABLE,0,0.373,0.3,3.3,20.9
2008020180,20081105,Ryan Getzlaf,ANA,STL,7.56,JOUABLE,1,0.479,0.5,3.3,19.0
2008020181,20081106,Marc Savard,BOS,TOR,7.56,JOUABLE,0,0.371,0.4,3.0,20.5
2008020183,20081106,Eric Staal,CAR,WSH,9.11,JOUABLE,0,0.496,0.7,4.4,22.7
2008020183,20081106,Alex Ovechkin,WSH,CAR,8.11,JOUABLE,0,0.382,0.22,5.0,24.2
2008020184,20081106,Bill Guerin,NYI,ATL,9.75,SAFE,0,0.307,0.4,3.8,18.2
2008020185,20081106,Dany Heatley,OTT,PHI,8.63,JOUABLE,1,0.434,0.5,3.2,21.0
2008020185,20081106,Jeff Carter,PHI,OTT,7.56,JOUABLE,0,0.374,0.1,4.7,21.6
2008020186,20081106,Sidney Crosby,PIT,EDM,7.84,JOUABLE,0,0.405,0.5,2.9,21.3
2008020186,20081106,Evgeni Malkin,PIT,EDM,8.37,JOUABLE,0,0.417,0.3,4.1,21.9
2008020187,20081106,Antti Miettinen,MIN,COL,8.11,JOUABLE,0,0.389,0.3,3.2,20.6
2008020187,20081106,Mikko Koivu,MIN,COL,8.11,JOUABLE,0,0.402,0.7,3.9,21.8
2008020188,20081106,Jarome Iginla,CGY,NSH,8.11,JOUABLE,1,0.302,0.3,3.3,22.8
2008020189,20081106,Shane Doan,ARI,VAN,9.11,JOUABLE,0,0.486,0.7,3.1,20.6
2008020189,20081106,Daniel Sedin,VAN,ARI,7.56,JOUABLE,0,0.41,0.4,3.0,19.3
2008020191,20081106,Joe Pavelski,SJS,STL,8.37,JOUABLE,0,0.443,0.9,3.3,19.2
2008020191,20081106,Ryane Clowe,SJS,STL,8.63,JOUABLE,1,0.473,0.7,3.6,14.9
2008020191,20081106,Patrick Marleau,SJS,STL,9.94,SAFE,0,0.469,0.7,3.9,21.8
2008020192,20081107,Eric Staal,CAR,OTT,9.11,JOUABLE,0,0.52,0.7,4.6,22.4
2008020192,20081107,Dany Heatley,OTT,CAR,8.63,JOUABLE,0,0.454,0.5,3.3,20.7
2008020193,20081107,Rick Nash,CBJ,MTL,7.56,JOUABLE,0,0.331,0.3,3.5,21.8
2008020193,20081107,Alex Kovalev,MTL,CBJ,8.37,JOUABLE,0,0.42,0.5,3.0,19.9
2008020193,20081107,Tomas Plekanec,MTL,CBJ,8.11,JOUABLE,0,0.387,0.5,3.4,18.7
2008020194,20081107,Thomas Vanek,BUF,ATL,9.34,JOUABLE,1,0.504,0.9,4.1,19.1
2008020195,20081107,Teemu Selanne,ANA,DAL,8.11,JOUABLE,0,0.517,0.6,3.2,16.7
