game_id,date,name,team,opp,sog_score,hit_sog,actual_sog,pp1,is_home,sog_l10,atoi_l10,ixg_l10,hdcf_l10,season_g,sa_g,sog_x_atoi
2008020128,20081028,Nik Antropov,TOR,TBL,6.25,0,1,1,1,3.0,17.3,0.455,0.5,0.5,37.3,51.88
2008020128,20081028,Niklas Hagman,TOR,TBL,6.75,1,3,0,1,4.0,18.4,0.2607,0.12,0.25,37.3,73.53
2008020128,20081028,Jason Blake,TOR,TBL,8.75,1,4,1,1,4.14,18.3,0.4334,0.71,0.143,37.3,75.67
2008020128,20081028,Mikhail Grabovski,TOR,TBL,2.25,0,0,0,1,2.12,16.8,0.2115,0.25,0.125,37.3,35.72
2008020129,20081028,Matt Cullen,CAR,MTL,2.0,0,2,1,0,1.57,16.7,0.3026,0.57,0.429,31.0,26.27
2008020129,20081028,Ray Whitney,CAR,MTL,2.0,0,2,0,0,2.14,19.1,0.1004,0.14,0.143,31.0,40.93
2008020129,20081028,Rod Brind'Amour,CAR,MTL,4.0,0,0,1,0,2.0,19.6,0.2861,0.43,0.571,31.0,39.14
2008020129,20081028,Eric Staal,CAR,MTL,9.0,1,3,1,0,4.29,22.1,0.4467,0.43,0.571,31.0,94.91
2008020129,20081028,Robert Lang,MTL,CAR,2.75,0,1,0,1,2.43,17.1,0.2967,0.43,0.429,35.7,41.58
2008020129,20081028,Alex Kovalev,MTL,CAR,6.75,1,3,1,1,3.29,19.8,0.4297,0.57,0.286,35.7,64.93
2008020129,20081028,Tomas Plekanec,MTL,CAR,7.75,0,1,1,1,3.86,19.2,0.4219,0.57,0.143,35.7,73.94
2008020129,20081028,Alex Tanguay,MTL,CAR,1.75,0,2,0,1,1.86,17.2,0.3899,0.43,0.714,35.7,31.93
2008020130,20081028,Daymond Langkow,CGY,COL,4.25,0,1,1,1,2.75,18.7,0.3043,0.25,0.125,25.9,51.55
2008020130,20081028,Michael Cammalleri,CGY,COL,2.25,1,4,0,1,2.5,17.0,0.2657,0.12,0.25,25.9,42.58
2008020130,20081028,Todd Bertuzzi,CGY,COL,5.75,0,1,1,1,2.5,20.7,0.458,0.62,0.75,25.9,51.81
2008020130,20081028,Jarome Iginla,CGY,COL,8.75,0,1,1,1,4.0,22.1,0.3568,0.12,0.75,25.9,88.36
2008020130,20081028,Milan Hejduk,COL,CGY,9.0,0,1,1,0,4.25,20.9,0.4855,0.75,0.75,30.1,88.99
2008020130,20081028,Darcy Tucker,COL,CGY,0.0,0,2,0,0,1.38,16.7,0.158,0.12,0.125,30.1,23.0
2008020130,20081028,Ryan Smyth,COL,CGY,7.0,0,1,1,0,3.12,20.6,0.3659,0.38,0.5,30.1,64.28
2008020130,20081028,Joe Sakic,COL,CGY,7.5,1,5,1,0,3.75,21.3,0.3246,0.12,0.25,30.1,79.8
2008020130,20081028,Paul Stastny,COL,CGY,4.0,1,3,0,0,2.62,21.4,0.3044,0.38,0.25,30.1,56.14
2008020131,20081028,Michael Ryder,BOS,VAN,3.0,0,2,0,0,3.0,16.5,0.2183,0.33,0.111,30.2,49.37
2008020131,20081028,Marc Savard,BOS,VAN,7.0,1,4,1,0,3.33,20.4,0.3673,0.33,0.556,30.2,68.08
