game_id,date,season,name,team,opp,qs_v10,scored,pp1,is_home,is_b2b,opp_is_b2b,ixg_l10,hdcf_l10,sog_l10,atoi_l10,season_g,ga_g,hdca_g,l3_goals,l5_goals,l3_scored,l5_scored,l10_goals,l10_scored,consec_goals,luck_factor
2008020079,20081020,2008,Brenden Morrow,DAL,NYR,9.335,1,1,0,0,0,0.445,0.4,3.6,21.2,0.2,2.0,2.62,0.0,1.0,0,1,1.0,1,0,0.449
2008020079,20081020,2008,Brad Richards,DAL,NYR,4.891,0,0,0,0,0,0.2264,0.2,3.8,20.8,0.4,2.0,2.62,1.0,2.0,1,2,2.0,2,1,1.767
2008020079,20081020,2008,Mike Modano,DAL,NYR,4.891,1,1,0,0,0,0.2814,0.2,2.4,19.3,0.4,2.0,2.62,2.0,2.0,1,1,2.0,1,0,1.421
2008020079,20081020,2008,Loui Eriksson,DAL,NYR,2.776,0,0,0,0,0,0.1302,0.0,1.8,17.6,0.2,2.0,2.62,1.0,1.0,1,1,1.0,1,1,1.536
2008020079,20081020,2008,Scott Gomez,NYR,DAL,10.285,0,1,1,0,0,0.2406,0.0,3.62,22.4,0.25,4.6,3.0,1.0,1.0,1,1,2.0,2,0,1.039
2008020079,20081020,2008,Brandon Dubinsky,NYR,DAL,8.873,0,1,1,0,0,0.2562,0.25,2.88,16.3,0.375,4.6,3.0,0.0,1.0,0,1,3.0,3,0,1.463
2008020080,20081020,2008,Robert Lang,MTL,FLA,6.44,0,0,1,0,0,0.2752,0.4,2.0,17.4,0.6,3.5,3.25,2.0,3.0,2,3,3.0,3,1,2.18
2008020080,20081020,2008,Alex Kovalev,MTL,FLA,11.224,0,1,1,0,0,0.4854,0.8,3.8,19.9,0.4,3.5,3.25,1.0,2.0,1,2,2.0,2,0,0.824
2008020080,20081020,2008,Alex Tanguay,MTL,FLA,8.37,0,1,1,0,0,0.4394,0.4,1.8,16.6,0.6,3.5,3.25,2.0,3.0,1,2,3.0,2,1,1.365
2008020081,20081020,2008,Milan Hejduk,COL,LAK,10.713,1,1,0,0,0,0.5396,1.2,4.8,21.2,1.0,2.5,3.0,3.0,5.0,2,4,5.0,4,2,1.853
2008020081,20081020,2008,Ryan Smyth,COL,LAK,10.439,1,1,0,0,0,0.4346,0.4,4.0,20.8,0.4,2.5,3.0,2.0,2.0,2,2,2.0,2,1,0.92
2008020081,20081020,2008,Joe Sakic,COL,LAK,9.335,0,1,0,0,0,0.4064,0.2,4.0,21.2,0.2,2.5,3.0,0.0,1.0,0,1,1.0,1,0,0.492
2008020081,20081020,2008,Paul Stastny,COL,LAK,7.0,0,0,0,0,0,0.325,0.4,2.8,21.8,0.2,2.5,3.0,1.0,1.0,1,1,1.0,1,0,0.615
2008020082,20081021,2008,Michael Ryder,BOS,BUF,4.665,0,1,0,1,0,0.3178,0.6,3.2,17.1,0.2,1.4,1.4,0.0,1.0,0,1,1.0,1,0,0.629
2008020082,20081021,2008,Marc Savard,BOS,BUF,8.873,0,1,0,1,0,0.4916,0.4,4.0,20.2,1.0,1.4,1.4,2.0,5.0,1,3,5.0,3,0,2.034
2008020082,20081021,2008,David Krejci,BOS,BUF,2.214,0,0,0,1,0,0.1192,0.2,2.0,16.9,0.4,1.4,1.4,1.0,2.0,1,2,2.0,2,0,3.356
2008020082,20081021,2008,Phil Kessel,BOS,BUF,2.953,1,0,0,1,0,0.3066,0.2,4.0,17.8,1.0,1.4,1.4,3.0,5.0,2,4,5.0,4,2,3.262
